id,client,timestamp,product,price
87365481,XztHU0aeUckvR7AC,2022-11-14T13:25:36,café allongé,1.4
42761208,t_CUBr6tyTQxGj2X,2022-11-14T13:29:46,café crème,2.5
90524048,hdVMQjoIgOov09zb,2022-11-14T13:34:09,chocolat chaud,2.6
09935741,hdVMQjoIgOov09zb,2022-11-14T13:37:10,chocolat chaud,2.6
03486136,TX7wC0pTqCRlCOhi,2022-11-14T13:40:52,expresso,1.1
46727424,H-Mp22FLe99MNhRa,2022-11-14T13:45:13,décaféiné,1.4
97190478,oplTx8h-38G3be4c,2022-11-14T13:50:05,décaféiné,1.4
49642764,TX7wC0pTqCRlCOhi,2022-11-14T13:53:27,expresso,1.1
33866371,JBoCs7rWb_jEs87W,2022-11-14T13:56:58,double café,2.6
55962364,t_CUBr6tyTQxGj2X,2022-11-14T16:00:30,expresso,1.1
45571427,H-Mp22FLe99MNhRa,2022-11-14T16:03:51,café,1.3
35418464,hdVMQjoIgOov09zb,2022-11-14T16:07:31,décaféiné,1.4
82426835,oplTx8h-38G3be4c,2022-11-14T16:10:57,café,1.3
09865228,D7pVaSr2-BpeKGwE,2022-11-14T16:14:25,café allongé,1.4
41349409,vAfh79KyDpYeFEMR,2022-11-14T16:18:49,chocolat chaud,2.6
17449100,vAfh79KyDpYeFEMR,2022-11-14T16:22:55,café,1.3
87987128,hdVMQjoIgOov09zb,2022-11-14T16:26:03,double café,2.6
89345434,TX7wC0pTqCRlCOhi,2022-11-14T16:30:23,expresso,1.1
77596797,oplTx8h-38G3be4c,2022-11-14T16:35:06,expresso,1.1
95825082,oplTx8h-38G3be4c,2022-11-14T16:39:42,café,1.3
81137866,t_CUBr6tyTQxGj2X,2022-11-14T16:42:59,café,1.3
95606355,TX7wC0pTqCRlCOhi,2022-11-14T16:47:48,expresso,1.1
39105815,H-Mp22FLe99MNhRa,2022-11-14T16:51:40,décaféiné,1.4
12379969,XztHU0aeUckvR7AC,2022-11-14T16:56:09,expresso,1.1
82597097,TX7wC0pTqCRlCOhi,2022-11-14T16:59:19,expresso,1.1
92590837,D7pVaSr2-BpeKGwE,2022-11-14T17:03:29,noisette,1.5
51847140,TX7wC0pTqCRlCOhi,2022-11-14T17:08:26,décaféiné,1.4
35834117,TX7wC0pTqCRlCOhi,2022-11-14T17:11:54,café,1.3
68802140,iQ5y--CyNtHUDL_8,2022-11-14T17:16:28,expresso,1.1
58027421,hdVMQjoIgOov09zb,2022-11-14T17:21:11,café,1.3
80018213,D7pVaSr2-BpeKGwE,2022-11-14T17:24:54,café,1.3
19942727,vAfh79KyDpYeFEMR,2022-11-14T17:29:16,expresso,1.1
23222038,TX7wC0pTqCRlCOhi,2022-11-14T17:32:21,café,1.3
64511307,hdVMQjoIgOov09zb,2022-11-14T17:36:05,expresso,1.1
51687533,oplTx8h-38G3be4c,2022-11-14T17:39:25,chocolat chaud,2.6
77037293,D7pVaSr2-BpeKGwE,2022-11-14T17:44:19,chocolat chaud,2.6
18874735,XztHU0aeUckvR7AC,2022-11-14T17:48:24,noisette,1.5
36852493,hdVMQjoIgOov09zb,2022-11-14T17:53:16,noisette,1.5
81231691,t_CUBr6tyTQxGj2X,2022-11-14T17:57:25,café allongé,1.4
80926035,iQ5y--CyNtHUDL_8,2022-11-15T09:01:26,café crème,2.5
70122316,D7pVaSr2-BpeKGwE,2022-11-15T09:05:20,noisette,1.5
12064039,TX7wC0pTqCRlCOhi,2022-11-15T09:08:55,café allongé,1.4
29397480,t_CUBr6tyTQxGj2X,2022-11-15T09:13:44,expresso,1.1
13014858,oplTx8h-38G3be4c,2022-11-15T09:16:52,café,1.3
95834782,hdVMQjoIgOov09zb,2022-11-15T09:20:05,expresso,1.1
86588340,iQ5y--CyNtHUDL_8,2022-11-15T09:24:45,café crème,2.5
49411179,vAfh79KyDpYeFEMR,2022-11-15T09:28:56,expresso,1.1
13298549,JBoCs7rWb_jEs87W,2022-11-15T09:32:44,chocolat chaud,2.6
34728259,t_CUBr6tyTQxGj2X,2022-11-15T09:37:14,expresso,1.1
95193867,t_CUBr6tyTQxGj2X,2022-11-15T09:40:22,expresso,1.1
40454735,t_CUBr6tyTQxGj2X,2022-11-15T09:44:35,décaféiné,1.4
98011571,XztHU0aeUckvR7AC,2022-11-15T09:48:44,expresso,1.1
35863907,hdVMQjoIgOov09zb,2022-11-15T09:53:28,noisette,1.5
39335567,XztHU0aeUckvR7AC,2022-11-15T09:57:52,noisette,1.5
04739382,t_CUBr6tyTQxGj2X,2022-11-15T10:02:35,café,1.3
92769219,D7pVaSr2-BpeKGwE,2022-11-15T10:05:51,café crème,2.5
64738607,hdVMQjoIgOov09zb,2022-11-15T10:09:51,chocolat chaud,2.6
68523563,iQ5y--CyNtHUDL_8,2022-11-15T10:14:25,décaféiné,1.4
86224300,H-Mp22FLe99MNhRa,2022-11-15T10:18:37,décaféiné,1.4
76022232,XztHU0aeUckvR7AC,2022-11-15T10:23:20,café,1.3
41517931,vAfh79KyDpYeFEMR,2022-11-15T10:26:53,café,1.3
94403383,iQ5y--CyNtHUDL_8,2022-11-15T10:30:21,expresso,1.1
62004691,JBoCs7rWb_jEs87W,2022-11-15T10:33:42,expresso,1.1
08113677,iQ5y--CyNtHUDL_8,2022-11-15T10:38:37,décaféiné,1.4
66805068,iQ5y--CyNtHUDL_8,2022-11-15T10:42:45,expresso,1.1
61561798,vAfh79KyDpYeFEMR,2022-11-15T10:47:27,café allongé,1.4
21182602,TX7wC0pTqCRlCOhi,2022-11-15T10:50:33,expresso,1.1
82274848,iQ5y--CyNtHUDL_8,2022-11-15T10:55:10,expresso,1.1
00839203,hdVMQjoIgOov09zb,2022-11-15T10:59:07,expresso,1.1
42811100,XztHU0aeUckvR7AC,2022-11-15T13:03:13,noisette,1.5
15063224,oplTx8h-38G3be4c,2022-11-15T13:06:38,double café,2.6
89454024,vAfh79KyDpYeFEMR,2022-11-15T13:10:58,café allongé,1.4
92930143,hdVMQjoIgOov09zb,2022-11-15T13:14:19,expresso,1.1
66716512,oplTx8h-38G3be4c,2022-11-15T13:19:16,expresso,1.1
85721657,t_CUBr6tyTQxGj2X,2022-11-15T13:22:45,café,1.3
53701716,XztHU0aeUckvR7AC,2022-11-15T13:26:47,expresso,1.1
